mall_name,lat,lon
100 AM,1.27468281482263,103.843488359469
313@Somerset,1.30100656917241,103.838246592796
Aperia,1.3104736675734,103.86431321816
Balestier Hill Shopping Centre,1.32559594839311,103.842571612968
Bugis Cube,1.2981408343975,103.855635339249
Bugis Junction,1.2991371723215,103.855450325604
Bugis+,1.30019390885656,103.854790764571
Capitol Piazza,1.29307884763132,103.851261982149
Cathay Cineleisure Orchard,1.30149264852924,103.836406753067
Clarke Quay Central,1.28883856248204,103.846558024744
The Centrepoint,1.30145045537088,103.840034074858
City Square Mall,1.3113827185663,103.856626855768
City Gate Mall,1.30231590504573,103.862331661034
CityLink Mall,1.2927777312893,103.854173501417
Duo,1.29953434891664,103.85840168774
Far East Plaza,1.30726606438138,103.833735289647
Funan,1.29134759697794,103.849989790085
Great World City,1.29342272650003,103.832022146655
HDB Hub,1.33201387005935,103.84984949662
Holland Village Shopping Mall,1.31056351475336,103.796107173318
ION Orchard,1.30409806225897,103.831592101365
Junction 8,1.3501820033849,103.848515664081
Knightsbridge,1.3029831225958,103.836283923443
Liat Towers,1.30508722710852,103.830722581168
Lucky Plaza,1.3044637897474,103.834005158524
Marina Bay Sands,1.28466203613219,103.861005919301
The Shoppes at Marina Bay Sands,1.28423496027027,103.85898228297
Marina Bay Link Mall,1.28019533269189,103.854207695749
Marina Square,1.29185533273026,103.85857808906
Millenia Walk,1.29267926922552,103.860302888543
Mustafa Shopping Centre,1.31053493112425,103.855002052529
Ngee Ann City,1.3022727300848,103.834899517575
Orchard Central,1.30083890839245,103.839434733899
Orchard Gateway,1.30160116957544,103.838868886519
Orchard Plaza,1.30125729409965,103.841150144584
Midpoint Orchard,1.30177313264942,103.838659652851
Palais Renaissance,1.30665484543191,103.829588045188
People's Park Centre,1.28580583517057,103.844032214205
People's Park Complex,1.28404487854559,103.842590753293
Plaza Singapura,1.30074770963916,103.845047573431
PoMo,1.30008379591925,103.849285314606
Raffles City,1.29408304748297,103.853339531257
Scotts Square,1.30579942993543,103.833074706219
Shaw House and Centre,1.3061133465565,103.831970581812
Sim Lim Square,1.30290658774258,103.853031869482
Singapore Shopping Centre,1.29815265394505,103.844111318107
The South Beach,1.29498804392056,103.856276242094
Square 2,1.32070510956845,103.844160709661
Sunshine Plaza,1.30046735366415,103.850556061949
Suntec City,1.29350132535558,103.857307495824
Tanglin Mall,1.30485342102105,103.823883490852
Tanjong Pagar Centre,1.27658360696843,103.845936303594
The Adelphi,1.29118503658447,103.851184338699
The Paragon,1.30375855987932,103.835240308481
Tiong Bahru Plaza,1.28644021678218,103.827450721571
The Poiz,1.33202729656296,103.868659488195
Thomson Plaza,1.35436282723449,103.83030941613
United Square,1.31719450988559,103.843611443038
Thomson V,1.35319495337208,103.835564729862
Velocity@Novena Square,1.31996748439185,103.843850630993
Wheelock Place,1.30467628730252,103.830642027577
Wisma Atria,1.30369890706785,103.833189592785
Zhongshan Mall,1.32694504484324,103.846554377679
Bedok Mall,1.32475054237912,103.92918919889
Century Square,1.35236829566862,103.943812302253
Our Tampines Hub,1.35354740485205,103.940381104547
Changi City Point,1.3343251596936,103.962389299537
Downtown East,1.37665685528105,103.955682846766
Djitsun Mall Bedok,1.32611970329469,103.929554495615
Eastpoint Mall,1.34270592355576,103.953024618234
Jewel Changi Airport,1.36023106736765,103.989457201894
KINEX (formerly OneKM),1.31474238838871,103.8945518516
Katong Shopping Centre,1.30379813229515,103.901161718308
Katong Square,1.30477683917233,103.904617722414
Kallang Wave Mall,1.30307515150401,103.873149707591
Leisure Park Kallang,1.30230108405227,103.876473975883
i12 Katong,1.30522306203042,103.905043928938
