psi,region,month,year
41,south,4,2021
46,north,4,2021
53,west,5,2021
61,national,5,2021
59,east,5,2021
59,central,5,2021
55,south,5,2021
61,north,5,2021
54,west,6,2021
54,national,6,2021
33,east,6,2021
43,central,6,2021
42,south,6,2021
53,north,6,2021
23,west,7,2021
37,national,7,2021
37,east,7,2021
30,central,7,2021
35,south,7,2021
35,north,7,2021
51,west,8,2021
59,national,8,2021
39,east,8,2021
56,central,8,2021
51,south,8,2021
59,north,8,2021
32,west,9,2021
41,national,9,2021
22,east,9,2021
40,central,9,2021
33,south,9,2021
41,north,9,2021
26,west,10,2021
52,national,10,2021
29,east,10,2021
47,central,10,2021
25,south,10,2021
52,north,10,2021
35,west,11,2021
54,national,11,2021
51,east,11,2021
54,central,11,2021
34,south,11,2021
50,north,11,2021
38,west,12,2021
52,national,12,2021
52,east,12,2021
52,central,12,2021
32,south,12,2021
52,north,12,2021
17,west,1,2022
32,national,1,2022
32,east,1,2022
29,central,1,2022
27,south,1,2022
29,north,1,2022
37,west,2,2022
53,national,2,2022
38,east,2,2022
53,central,2,2022
37,south,2,2022
46,north,2,2022
30,west,3,2022
52,national,3,2022
52,east,3,2022
52,central,3,2022
46,south,3,2022
49,north,3,2022
43,west,4,2022
55,national,4,2022
55,east,4,2022
53,central,4,2022
51,south,4,2022
50,north,4,2022
50,west,5,2022
60,national,5,2022
53,east,5,2022
60,central,5,2022
55,south,5,2022
60,north,5,2022
57,west,6,2022
66,national,6,2022
64,east,6,2022
66,central,6,2022
54,south,6,2022
63,north,6,2022
32,west,7,2022
39,national,7,2022
39,east,7,2022
32,central,7,2022
34,south,7,2022
30,north,7,2022
28,west,8,2022
31,national,8,2022
31,east,8,2022
27,central,8,2022
24,south,8,2022
28,north,8,2022
47,west,9,2022
47,national,9,2022
27,east,9,2022
25,central,9,2022
23,south,9,2022
34,north,9,2022
33,west,10,2022
57,national,10,2022
55,east,10,2022
56,central,10,2022
56,south,10,2022
57,north,10,2022
17,west,11,2022
27,national,11,2022
25,east,11,2022
20,central,11,2022
27,south,11,2022
22,north,11,2022
27,west,12,2022
50,national,12,2022
50,east,12,2022
44,central,12,2022
42,south,12,2022
26,north,12,2022
33,west,1,2023
56,national,1,2023
56,east,1,2023
45,central,1,2023
45,south,1,2023
31,north,1,2023
22,west,2,2023
50,national,2,2023
50,east,2,2023
29,central,2,2023
37,south,2,2023
21,north,2,2023
23,west,3,2023
35,national,3,2023
35,east,3,2023
17,central,3,2023
23,south,3,2023
18,north,3,2023
